vassdragNr,innsjo_nr,year,Coniferous forest,Transitional woodland-shrub,Peat bogs,Water bodies,Non-irrigated arable land,"Land principally occupied by agriculture, with significant areas of natural vegetation",Discontinuous urban fabric,Mixed forest,Sea and ocean,Broad-leaved forest,Moors and heathland,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Complex cultivation patterns,Sport and leisure facilities,Water courses,Natural grasslands,Continuous urban fabric,Industrial or commercial units,Road and rail networks and associated land,Port areas,Green urban areas,Mineral extraction sites,Pastures,NA,total_pop,pop_density
002.JAAAB,282,1998,58.01817875499557,0,39.93747082754487,2.044350417459559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.EB3C,3838,1987,67.25654631479216,7.623849793351462,24.825397384114023,0.2942065077423537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,5.450611936093193
002.DHEC,224,1996,5.0912002318319365,0,0,0.7389642982532727,0,0,0,1.1039881409047765,0,17.339096932870905,23.385489327000062,19.00520321518202,32.19528868463241,0,0,1.1407691693246225,0,0,0,0,0,0,0,0,0,0,0,0
002.DGF5A,274,1988,0,0,0,0,0,0,0,0,0,0,53.13878754122573,0,46.861212458774276,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11.95441346860091
002.DGF5A,274,1983,0,0,0,0,0,0,0,0,0,0,53.13878754122573,0,46.861212458774276,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11.95441346860091
002.DGF5A,274,1986,0,0,0,0,0,0,0,0,0,0,53.13878754122573,0,46.861212458774276,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11.95441346860091
002.G6D8,238,1987,54.27580589108174,20.42111727919476,25.3030768297235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2.9286835225528245
002.EB11C,281,1987,76.23053719944902,7.333095042979442,16.436367757571528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3.729139163493459
002.LF0,126,1985,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.5353552063410324
002.LF0,126,1986,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.5353552063410324
002.LF0,126,1987,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.5353552063410324
002.LF0,126,1988,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.5353552063410324
002.LF0,126,1989,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.5353552063410324
002.LF0,126,1990,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.5353552063410324
002.LF0,126,1991,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LF0,126,1992,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LF0,126,1993,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LF0,126,1994,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.5353552063410324
002.LF0,126,1995,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.44612933861752696
002.LF0,126,1996,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LF0,126,1997,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LF0,126,1998,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LF0,126,1999,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002.LF0,126,2000,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.7138069417880432
002.LF0,126,2001,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1.5465817072074268
002.LF0,126,2002,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1.6952914867466025
002.LF0,126,2003,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.606065619023097
002.LF0,126,2004,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.4573558394839214
002.LF0,126,2005,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1.338388015852581
002.LF0,126,2006,19.975535497052835,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.9517425890507242
002.LF0,126,2007,19.930056613369,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0.04547888368383439,0,0,0,0,0,0,0,0,0,0,29,0.8625167213272188
002.LF0,126,2008,19.930056613369,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0.04547888368383439,0,0,0,0,0,0,0,0,0,0,34,1.0112265008663943
002.LF0,126,2009,19.930056613369,0,8.839257910077269,0.02419566225543898,0,0.5128136194694429,0,2.3458590692287182,0,4.486503077105751,1.6800302893846015,19.15243491254836,42.98336996287758,0,0,0.04547888368383439,0,0,0,0,0,0,0,0,0,0,36,1.0707104126820648
